HH,Div,Date,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result,match_api_id,home_team_buildUpPlaySpeed,home_team_buildUpPlayPassing,home_team_chanceCreationPassing,home_team_chanceCreationCrossing,home_team_chanceCreationShooting,home_team_defencePressure,home_team_defenceAggression,home_team_defenceTeamWidth,home_team_avg_shots,home_team_avg_corners,home_team_avg_crosses,away_team_buildUpPlaySpeed,away_team_buildUpPlayPassing,away_team_chanceCreationPassing,away_team_chanceCreationCrossing,away_team_chanceCreationShooting,away_team_defencePressure,away_team_defenceAggression,away_team_defenceTeamWidth,away_team_avg_shots,away_team_avg_corners,away_team_avg_crosses,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,B365H,B365D,B365A,League_1729.0,League_4769.0,League_7809.0,League_10257.0,League_13274.0,League_19694.0,League_21518.0,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,outcome,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,home_team_long_name,home_team_short_name,away_team_long_name,away_team_short_name
3155,E0,11/9/2008 0:00,Aston Villa,Middlesbrough,A,9,8,7,4,0.8143428015984447,0.9973676513600468,0.4124012869260018,0.4708931850091802,-1,489156,70,59,65,70,50,30,70,30,10.4375,10.75593220338983,17.157894736842106,70,70,70,70,50,30,70,30,11.526315789473683,11.526315789473683,17.157894736842106,1,-3,2,2,0,0,1.7,3.8,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,81,76,79,75,77,84,77,80,81,83,70,71,71,72,69,73,74,72,81,78,83,Defeat,1729,1729,2008/2009,12,11/9/2008 0:00,10252,8549,Aston Villa,AVL,Middlesbrough,MID
3159,E0,11/15/2008 0:00,Arsenal,Aston Villa,A,8,6,8,5,1.429960038881089,0.739982451,0.9973676513600468,1.0821903013284373,-1,489163,66,30,30,45,35,30,40,50,13.93092105263158,14.163879598662207,18.93092105263158,70,59,65,70,50,30,70,30,10.4375,10.75593220338983,18.93092105263158,4,-1,3,1,0,0,1.5,4,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,82,84,76,83,79,88,76,82,75,77,80,81,79,76,74,83,77,77,84,80,81,Defeat,1729,1729,2008/2009,13,11/15/2008 0:00,9825,10252,Arsenal,ARS,Aston Villa,AVL
3167,E0,11/16/2008 0:00,Everton,Middlesbrough,D,7,3,11,1,1.0389890916945674,0.9534951740274936,0.4124012869260018,0.4708931850091802,0,489165,60,65,60,70,45,40,70,40,12.289473684210526,12.370860927152318,17.157894736842106,70,70,70,70,50,30,70,30,11.526315789473683,11.526315789473683,17.157894736842106,2,-1,3,3,0,0,1.83,3.5,4.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,82,76,80,78,82,82,75,80,75,84,80,70,71,71,72,69,74,72,74,81,83,78,Draw,1729,1729,2008/2009,13,11/16/2008 0:00,8668,8549,Everton,EVE,Middlesbrough,MID
3171,E0,11/22/2008 0:00,Liverpool,Fulham,D,7,6,9,3,1.2333945350469817,0.6902603100321731,0.6463878326996199,0.859704072,0,489172,50,35,50,60,70,40,60,40,14.88157894736842,14.930693069306932,16.67105263157895,60,70,70,70,50,40,35,40,11.057017543859647,11.154867256637168,16.67105263157895,6,3,4,3,0,0,1.25,5.5,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84,77,85,82,76,80,76,85,79,83,88,75,67,72,79,72,75,74,78,73,80,73,Draw,1729,1729,2008/2009,14,11/22/2008 0:00,8650,9879,Liverpool,LIV,Fulham,FUL
3179,E0,11/29/2008 0:00,Aston Villa,Fulham,D,4,2,11,4,0.8143428015984447,0.9973676513600468,0.6463878326996199,0.859704072,0,489185,70,59,65,70,50,30,70,30,10.4375,10.75593220338983,16.67105263157895,60,70,70,70,50,40,35,40,11.057017543859647,11.154867256637168,16.67105263157895,3,3,2,3,0,0,1.57,3.8,6.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,81,79,76,74,77,77,84,80,81,83,75,67,72,79,72,75,74,78,73,80,73,Draw,1729,1729,2008/2009,15,11/29/2008 0:00,10252,9879,Aston Villa,AVL,Fulham,FUL
3184,E0,11/30/2008 0:00,Chelsea,Arsenal,A,5,6,3,2,1.404039313100767,0.6931851418543434,1.4711904065516237,0.7387406847391728,-1,489191,70,60,56,70,70,30,60,35,15.513157894736842,15.61589404,21.082236842105264,66,30,30,45,35,30,40,50,13.93092105263158,14.163879598662207,21.082236842105264,10,-5,3,1,0,0,1.8,3.4,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,88,82,78,88,83,81,85,86,86,79,83,79,82,84,73,83,76,88,72,82,86,85,Defeat,1729,1729,2008/2009,15,11/30/2008 0:00,8455,9825,Chelsea,CHE,Arsenal,ARS
3196,E0,12/7/2008 0:00,Everton,Aston Villa,A,7,5,10,6,1.0389890916945674,0.9534951740274936,0.9973676513600468,1.0821903013284373,-1,489195,60,65,60,70,45,40,70,40,12.289473684210526,12.370860927152318,18.93092105263158,70,59,65,70,50,30,70,30,10.4375,10.75593220338983,18.93092105263158,3,-1,3,1,0,0,2.62,3.25,2.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,82,76,80,78,82,75,75,80,82,77,73,80,81,79,76,74,77,77,84,80,81,83,Defeat,1729,1729,2008/2009,16,12/7/2008 0:00,8668,10252,Everton,EVE,Aston Villa,AVL
3202,E0,12/13/2008 0:00,Middlesbrough,Arsenal,D,3,11,5,10,0.4276919753753105,0.5498683825680024,1.4711904065516237,0.7387406847391728,0,489206,70,70,70,70,50,30,70,30,11.526315789473683,11.526315789473683,21.082236842105264,66,30,30,45,35,30,40,50,13.93092105263158,14.163879598662207,21.082236842105264,-2,-2,1,3,0,0,4.5,3.6,1.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,66,71,77,72,68,72,74,81,78,73,79,82,84,73,83,76,88,72,75,85,86,Draw,1729,1729,2008/2009,17,12/13/2008 0:00,8549,9825,Middlesbrough,MID,Arsenal,ARS
3211,E0,12/20/2008 0:00,Fulham,Middlesbrough,H,13,5,6,4,0.7538611081110271,0.8745247148288974,0.4124012869260018,0.4708931850091802,1,489218,60,70,70,70,50,40,35,40,11.057017543859647,11.154867256637168,17.157894736842106,70,70,70,70,50,30,70,30,11.526315789473683,11.526315789473683,17.157894736842106,1,-3,1,0,0,0,2.2,3.25,3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75,67,72,79,72,75,78,74,75,73,80,70,66,71,77,72,68,65,74,81,73,78,Win,1729,1729,2008/2009,18,12/20/2008 0:00,9879,8549,Fulham,FUL,Middlesbrough,MID
3214,E0,12/21/2008 0:00,Arsenal,Liverpool,D,3,6,2,1,1.429960038881089,0.739982451,1.3073998245100908,0.797062318,0,489213,66,30,30,45,35,30,40,50,13.93092105263158,14.163879598662207,19.44407894736842,50,35,50,60,70,40,60,40,14.88157894736842,14.930693069306932,19.44407894736842,-3,4,2,2,0,0,2.4,3.25,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,82,84,73,83,76,88,72,82,86,85,84,77,85,82,73,82,76,80,88,79,83,Draw,1729,1729,2008/2009,18,12/21/2008 0:00,9825,8650,Arsenal,ARS,Liverpool,LIV
